"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Oct-2023","EQ","430.00","433.35","427.90","430.45","428.45","428.40","429.99","499.70","325.35","86,20,154","3,70,65,53,452.70","1,63,866"
"30-Oct-2023","EQ","434.55","437.15","428.35","433.75","431.50","430.45","430.92","499.70","325.35","76,18,033","3,28,27,78,364.60","1,38,620"
"27-Oct-2023","EQ","434.35","436.80","432.20","434.35","433.90","433.75","434.00","499.70","325.35","1,31,32,487","5,69,94,53,016.85","1,55,586"
"26-Oct-2023","EQ","429.55","436.60","429.55","432.70","432.65","434.35","433.54","499.70","325.35","1,88,01,214","8,15,10,61,459.60","2,40,264"
"25-Oct-2023","EQ","436.90","438.00","427.05","435.90","432.30","432.70","432.29","499.70","325.35","1,08,89,221","4,70,72,51,503.70","2,27,701"
"23-Oct-2023","EQ","438.00","439.95","433.10","438.30","434.60","435.90","436.65","499.70","325.35","72,75,471","3,17,68,39,602.20","1,70,442"
"20-Oct-2023","EQ","445.00","449.00","437.35","450.40","438.00","438.30","440.74","499.70","325.35","1,30,20,371","5,73,86,37,212.35","3,47,081"
"19-Oct-2023","EQ","449.75","454.90","446.85","451.65","450.05","450.40","450.60","499.70","325.35","94,65,463","4,26,51,43,431.25","2,28,007"
"18-Oct-2023","EQ","454.25","458.20","451.00","453.45","451.70","451.65","454.49","499.70","325.35","68,94,947","3,13,36,63,541.95","1,55,654"
"17-Oct-2023","EQ","449.80","454.50","449.00","448.95","453.50","453.45","452.96","499.70","325.35","69,36,218","3,14,18,20,069.90","1,19,724"
"16-Oct-2023","EQ","448.00","451.00","446.20","448.35","448.20","448.95","449.42","499.70","325.35","42,14,958","1,89,43,05,840.25","1,03,179"
"13-Oct-2023","EQ","449.85","451.80","447.00","450.70","448.00","448.35","449.73","499.70","324.75","76,32,483","3,43,25,58,181.35","1,35,556"
"12-Oct-2023","EQ","449.65","452.50","446.15","448.25","451.00","450.70","450.47","499.70","324.75","1,17,74,487","5,30,40,11,557.70","1,27,972"
"11-Oct-2023","EQ","447.20","449.45","444.80","444.40","447.50","448.25","447.45","499.70","324.75","76,51,513","3,42,36,93,653.20","1,19,123"
"10-Oct-2023","EQ","440.45","444.85","440.45","440.45","444.70","444.40","443.47","499.70","324.75","50,14,758","2,22,38,94,873.10","1,41,128"
"09-Oct-2023","EQ","440.95","443.20","437.25","442.15","439.65","440.45","440.61","499.70","324.75","56,11,154","2,47,23,16,260.35","1,31,925"
"06-Oct-2023","EQ","437.85","443.60","436.65","436.05","442.60","442.15","441.76","499.70","323.25","84,18,580","3,71,89,97,999.10","1,46,980"
"05-Oct-2023","EQ","440.00","440.50","435.05","436.10","436.60","436.05","437.31","499.70","323.25","1,00,30,257","4,38,63,55,806.90","1,94,053"
"04-Oct-2023","EQ","439.75","441.70","433.30","439.75","435.35","436.10","437.58","499.70","323.25","1,33,96,709","5,86,21,43,527.85","2,19,368"
"03-Oct-2023","EQ","441.00","442.90","439.25","444.40","439.65","439.75","440.62","499.70","323.25","74,81,883","3,29,66,73,214.60","1,86,900"
"29-Sep-2023","EQ","442.00","445.60","439.20","440.75","443.50","444.40","443.32","499.70","323.25","81,60,058","3,61,75,50,656.80","1,38,714"
"28-Sep-2023","EQ","449.95","449.95","439.60","449.15","441.15","440.75","442.49","499.70","323.25","1,02,16,736","4,52,08,50,400.35","1,55,680"
"27-Sep-2023","EQ","442.45","449.80","438.80","442.45","449.35","449.15","445.78","499.70","323.25","1,04,90,786","4,67,65,96,819.75","1,61,084"
"26-Sep-2023","EQ","443.60","444.50","439.70","442.60","442.80","442.45","442.01","499.70","323.25","53,27,833","2,35,49,54,516.75","1,14,357"
"25-Sep-2023","EQ","443.10","444.80","438.35","443.10","443.10","442.60","441.75","499.70","323.25","57,82,955","2,55,46,32,224.30","1,26,229"
"22-Sep-2023","EQ","447.50","448.40","442.25","447.50","442.50","443.10","444.33","499.70","323.25","75,06,309","3,33,52,88,560.30","1,95,313"
"21-Sep-2023","EQ","452.80","453.55","444.50","452.95","447.50","447.50","447.41","499.70","323.25","1,07,19,470","4,79,59,86,148.20","1,87,202"
"20-Sep-2023","EQ","451.70","455.10","449.55","452.05","452.85","452.95","453.08","499.70","323.25","99,59,649","4,51,24,76,237.45","1,49,782"
"18-Sep-2023","EQ","448.35","454.00","446.20","448.35","451.95","452.05","451.88","499.70","323.25","81,97,425","3,70,42,74,692.05","1,34,382"
"15-Sep-2023","EQ","448.05","452.10","447.00","449.95","447.90","448.35","449.10","499.70","323.25","1,50,77,136","6,77,11,63,336.05","1,58,789"
"14-Sep-2023","EQ","455.90","455.90","447.15","453.50","450.35","449.95","450.17","499.70","323.25","1,44,30,930","6,49,63,13,051.65","2,16,539"
"13-Sep-2023","EQ","452.20","457.00","451.10","451.15","453.30","453.50","453.91","499.70","323.25","1,18,13,170","5,36,21,35,445.70","1,69,384"
"12-Sep-2023","EQ","448.90","454.30","445.60","447.20","451.00","451.15","450.56","499.70","323.25","1,44,06,441","6,49,10,27,758.45","2,03,436"
"11-Sep-2023","EQ","446.00","448.10","442.65","442.65","447.95","447.20","445.08","499.70","323.25","93,20,577","4,14,84,10,205.85","1,65,092"
"08-Sep-2023","EQ","447.90","447.90","441.85","445.90","442.70","442.65","443.46","499.70","323.25","99,39,517","4,40,77,78,233.95","1,38,338"
"07-Sep-2023","EQ","448.80","449.00","444.60","447.45","446.00","445.90","446.01","499.70","323.25","80,90,369","3,60,83,94,716.25","1,19,372"
"06-Sep-2023","EQ","443.95","448.50","442.00","443.10","448.00","447.45","445.72","499.70","323.25","1,28,63,039","5,73,32,84,923.40","1,79,677"
"05-Sep-2023","EQ","438.90","444.50","438.50","437.50","444.15","443.10","441.31","499.70","323.25","83,78,915","3,69,76,63,243.35","1,25,789"
